Year,State,Population,AVG Price
2003,SC,2744662,$121008.9398
2003,TN,2768524,$87538.0249
2003,TX,19023485,$156171.558
2003,UT,2003443,$209312.8148
2003,VA,2168024,$200595.2552
2003,VT,204201,$138530.5822
2003,WA,5034279,$232253.2172
2003,WI,3606607,$179033.9773
2003,WV,617105,$76647.1371
2003,WY,152330,$139806.5119
2004,AK,434288,$200927.4338
2004,AL,3284958,$103338.8451
2004,AR,1316961,$81382.2454
2004,AZ,5328192,$168686.9367
2004,CA,34745743,$423682.7802
2004,CO,3926055,$237128.6231
2004,CT,3193177,$291494.3987
2004,DE,139342,$209048.5272
2004,FL,16765800,$192033.5012
2004,GA,6357636,$118857.26
2004,HI,1048622,$300238.2428
2004,IA,1296540,$112581.2554
2004,ID,932051,$158450.2461
2004,IL,1743148,$199437.107
2004,IN,3227352,$112090.3296
2004,KS,1027106,$162049.0362
2004,KY,822502,$89659.9539
2004,LA,3796335,$122718.9044
2004,MA,1045075,$344621.2609
2004,MD,2725846,$264293.5342
2004,ME,764109,$174368.5027
2004,MI,8162965,$141295.9114
2004,MN,462312,$213505.1489
2004,MO,873857,$156616.1715
2004,MS,1104935,$79030.1963
2004,NC,4905605,$128387.8608
2004,NE,350664,$129438.2239
2004,NH,394428,$216497.5097
2004,NJ,879290,$316353.8654
2004,NM,1233746,$164730.1021
2004,NV,2105076,$337175.9812
2004,NY,5550414,$253824.5328
2004,OH,6842252,$132243.147
2004,OK,2203328,$63419.7052
2004,OR,1288653,$192003.3179
2004,PA,6163183,$151827.3604
2004,SC,2789194,$122634.4765
2004,TN,2809812,$91134.2259
2004,TX,19367523,$163808.4421
2004,UT,2039638,$212852.6403
2004,VA,2193795,$229023.2097
2004,VT,205652,$155549.3636
2004,WA,5086283,$251800.644
2004,WI,3628151,$197673.7991
2004,WV,617630,$80130.5975
2004,WY,154462,$146082.173
2005,AK,441334,$183939.2321
2005,AL,3322832,$110483.2793
2005,AR,1342636,$87679.738
2005,AZ,5510818,$211903.0327
2005,CA,34992800,$493325.6209
2005,CO,3978782,$246898.9011
2005,CT,3202408,$328181.3769
2005,DE,144585,$244371.4124
2005,FL,17182729,$235965.5041
2005,GA,6489907,$123920.8725
2005,HI,1061629,$384640.4051
2005,IA,1311388,$118406.2931
2005,ID,963492,$160973.2205
2005,IL,1754147,$212538.8771
2005,IN,3261149,$119252.7069
2005,KS,1033204,$158598.204
2005,KY,834462,$92634.6912
2005,LA,3821413,$132047.039
2005,MA,1042967,$374809.7714
2005,MD,2741102,$318401.2722
2005,ME,767365,$191626.2233
2005,MI,8157334,$146826.5109
2005,MN,467521,$217211.8203
2005,MO,889750,$162988.3323
2005,MS,1116392,$83732.4874
2005,MT,338364,$210418.9546
2005,NC,4988965,$137027.3403
2005,NE,354340,$134439.5988
2005,NH,396381,$239387.5214
2005,NJ,883638,$363938.5453
2005,NM,1261169,$175342.1696
2005,NV,2182050,$419346.8368
2005,NY,5550043,$284372.7639
2005,OH,6849657,$136275.1531
2005,OK,2223002,$66090.1308
2005,OR,1308880,$219601.0419
2005,PA,6180113,$163085.3251
2005,SC,2827441,$131467.6591
2005,TN,2858450,$96671.2646
2005,TX,19736859,$169875.0774
2005,UT,2088269,$213987.9858
2005,VA,2226974,$272817.5597
2005,VT,206637,$175280.9814
2005,WA,5147408,$287446.5552
2005,WI,3646735,$208172.7306
2005,WV,616985,$87128.1477
2005,WY,155654,$158128.1447
2006,AK,449263,$196890.0756
2006,AL,3376894,$119500.2951
2006,AR,1374585,$94521.837
2006,AZ,5695176,$259039.7463
2006,CA,35182458,$539874.9148
2006,CO,4059076,$256628.5877
2006,CT,3211000,$350733.3709
2006,DE,149704,$277616.0912
2006,FL,17498766,$281632.041
2006,GA,6682269,$130444.0473
2006,HI,1072730,$459054.8313
2006,IA,1329692,$122476.0576
2006,ID,998214,$174278.9001
2006,IL,1770355,$220028.5065
2006,IN,3302439,$123210.8675
2006,KS,1043750,$155816.6886
2006,KY,848031,$94866.8505
2006,LA,3541746,$147426.885
2006,MA,1041298,$379126.2269
2006,MD,2757011,$363376.0715
2006,ME,769992,$196609.0939
2006,MI,8142013,$148300.443
2006,MN,474515,$220751.2494
2006,MO,908540,$169376.8284
2006,MS,1093752,$90592.5934
2006,MT,342513,$221735.9124
2006,NC,5109112,$149040.0952
2006,NE,358300,$134246.5044
2006,NH,398169,$249946.1771
2006,NJ,886665,$400824.6512
2006,NM,1288767,$197070.8132
2006,NV,2263550,$459230.0877
2006,NY,5553290,$309208.0305
2006,OH,6858579,$138476.1514
2006,OK,2257382,$68818.7498
2006,OR,1333572,$256460.5633
2006,PA,6211736,$176218.6981
2006,SC,2886525,$145899.0187
2006,SD,331055,$137143.1769
2006,TN,2922629,$103952.7431
2006,TX,20298522,$177423.5199
2006,UT,2148294,$233657.0593
2006,VA,2265991,$299858.8342
2006,VT,207426,$190495.2944
2006,WA,5241980,$333237.8087
2006,WI,3667361,$212007.6537
2006,WV,617306,$92666.5586
2006,WY,157625,$167981.3751
2007,AK,453739,$205579.3566
2007,AL,3416103,$124527.8974
2007,AR,1397821,$97310.3691
2007,AZ,5828535,$260520.2271
2007,CA,35409556,$506675.0877
2007,CO,4133963,$259800.4492
2007,CT,3220160,$348221.7852
2007,DE,153969,$281555.0942
2007,FL,17693684,$274310.0617
2007,GA,6847038,$134854.3382
2007,HI,1073452,$471160.7676
2007,IA,1349128,$125324.2514
2007,ID,1028524,$200691.2084
2007,IL,1786252,$219124.3971
2007,IN,3339780,$123992.6021
2007,KS,1054397,$156214.0719
2007,KY,858592,$96255.7671
2007,LA,3614942,$151380.9341
2007,MA,1040116,$365162.1183
2007,MD,2768218,$367294.3809
2007,ME,772236,$197104.3655
2007,MI,8109373,$141731.8093
2007,MN,480343,$217348.462
2007,MO,924244,$170429.9202
2007,MS,1108719,$94735.134
2007,MT,346567,$231479.5179
2007,NC,5221693,$164486.9568
2007,NE,362286,$130926.2363
2007,NH,398843,$246258.2924
2007,NJ,887566,$397316.7329
2007,NM,1313853,$213003.8756
2007,NV,2335829,$419305.5526
2007,NY,5559266,$309157.5468
2007,OH,6873147,$137797.4092
2007,OK,2290073,$71733.7208
2007,OR,1354780,$275158.6151
2007,PA,6237100,$181396.0262
2007,SC,2943537,$152593.4901
2007,SD,337833,$139407.5898
2007,TN,2979493,$109482.3738
2007,TX,20758595,$174637.5174
2007,UT,2210765,$276509.0484
2007,VA,2296649,$292918.314
2007,VT,208232,$199952.6599
2007,WA,5318745,$350896.8516
2007,WI,3692502,$210532.0781
2007,WV,618575,$94670.4939
2007,WY,160019,$182756.8708
2008,AK,460185,$208049.6533
2008,AL,3455585,$123874.3757
2008,AR,1420393,$96990.2273
2008,AZ,5937517,$221117.8715
2008,CA,35761758,$430590.4921
2008,CO,4210469,$253793.7582
2008,CT,3237516,$332548.6475
2008,DE,157925,$268881.3802
2008,FL,17846636,$230994.6413
