Year,State,Population,AVG Price
2017,NJ,908312,$375737.4046
2017,NM,1401040,$167230.5043
2017,NV,2678821,$267297.9741
2017,NY,5657990,$327920.7542
2017,OH,7098609,$137140.2549
2017,OK,2574062,$81665.2078
2017,OR,1505301,$269815.4353
2017,PA,6396821,$159828.6786
2017,SC,3331633,$144174.7025
2017,SD,398334,$158905.6509
2017,TN,3403783,$138167.4959
2017,TX,25057493,$185877.9653
2017,UT,2677501,$296686.962
2017,VA,2494238,$213043.3072
2017,VT,222432,$220096.6518
2017,WA,6178111,$319688.8423
2017,WI,3883914,$180133.0551
2017,WV,617000,$105298.4216
2017,WY,177826,$244454.5086
2018,AK,497859,$223828.9273
2018,AL,3725736,$125616.5284
2018,AR,1590622,$110509.7784
2018,AZ,6632618,$226373.2149
2018,CA,38680922,$554372.0333
2018,CO,4967643,$334963.1038
2018,CT,3308816,$300655.2372
2018,DE,177853,$247615.3892
2018,FL,20451280,$271465.2557
2018,GA,7919645,$149149.7572
2018,HI,1186538,$528953.1508
2018,IA,1532374,$127571.828
2018,ID,1247896,$231077.8694
2018,IL,1778184,$151073.5745
2018,IN,3651241,$132908.3522
2018,KS,1129031,$86385.2135
2018,KY,963766,$97167.6861
2018,LA,3936440,$133016.4752
2018,MA,1058604,$418444.7996
2018,MD,2950025,$324025.9751
2018,ME,805768,$200624.1152
2018,MI,8212031,$150812.9905
2018,MN,523077,$195897.8708
2018,MO,1006900,$140197.5477
2018,MS,1181950,$112051.1857
2018,MT,381407,$223688.676
2018,NC,5983187,$171061.2329
2018,ND,131811,$165177.6473
2018,NE,412952,$134554.6338
2018,NH,418261,$262931.8869
2018,NJ,909638,$389786.8588
2018,NM,1403412,$174635.6101
2018,NV,2729619,$278501.2823
2018,NY,5670814,$340617.5133
2018,OH,7122489,$143683.6367
2018,OK,2588823,$86479.1685
2018,OR,1524825,$289114.2922
2018,PA,6411794,$166293.0767
2018,SC,3368059,$155429.7641
2018,SD,403859,$169214.4928
2018,TN,3450091,$147607.4861
2018,TX,25374050,$195614.3532
2018,UT,2725126,$324096.6966
2018,VA,2512750,$220235.4592
2018,VT,223841,$230656.0877
2018,WA,6260933,$350343.0347
2018,WI,3896839,$190016.9413
2018,WV,610619,$108696.7865
2018,WY,177961,$249422.6341
2019,AK,494890,$237877.4049
2019,AL,3753788,$132817.2664
2019,AR,1603376,$113751.9391
2019,AZ,6732532,$244970.5175
2019,CA,38688966,$563278.2961
2019,CO,5023815,$354091.1128
2019,CT,3305217,$303138.626
2019,DE,180255,$256137.7955
2019,FL,20673517,$284519.4445
2019,GA,8013804,$158703.6831
2019,HI,1183681,$563827.846
2019,IA,1545605,$130885
2019,ID,1278701,$252188.6748
2019,IL,1769252,$154331.535
2019,IN,3678959,$141011.4306
2019,KS,1130195,$90890.9319
2019,KY,969482,$98744.4233
2019,LA,3937037,$136069.0603
2019,MA,1056739,$430254.4683
2019,MD,2956055,$334487.5911
2019,ME,811274,$203530.4298
2019,MI,8218611,$159911.4914
2019,MN,527129,$203992.5073
2019,MO,1013420,$146247.7797
2019,MS,1182798,$114914.8092
2019,MT,383639,$239315.4071
2019,NC,6044873,$179417.9356
2019,ND,132775,$163267.3906
2019,NE,415425,$142164.8621
2019,NH,421513,$271747.7948
2019,NJ,911072,$401731.7127
2019,NM,1406950,$182447.296
2019,NV,2781693,$297216.3081
2019,NY,5671453,$356374.8718
2019,OH,7143838,$151228.241
2019,OK,2611242,$90409.0776
2019,OR,1540532,$304108.8399
2019,PA,6416180,$172566.9065
2019,SC,3408387,$164129.1923
2019,SD,411210,$178693.8573
2019,TN,3490777,$161834.1487
2019,TX,25717686,$202864.1689
2019,UT,2770136,$348499.2326
2019,VA,2529327,$226034.7291
2019,VT,224648,$238216.9348
2019,WA,6333655,$368514.8901
2019,WI,3911556,$200590.823
2019,WV,606452,$92469.8241
2019,WY,179097,$254577.8702
2020,AK,493383,$251873.1585
2020,AL,3778400,$144087.5239
2020,AR,1619865,$121720.9524
2020,AZ,6839612,$267349.3926
2020,CA,38641231,$584676.3681
2020,CO,5072123,$380156.101
2020,CT,3299146,$313077.5868
2020,DE,182256,$271752.232
2020,FL,20885767,$302678.7991
2020,GA,8084129,$170509.1653
2020,HI,1177964,$589261.5571
2020,IA,1555585,$140715.2289
2020,ID,1310042,$283674.05
2020,IL,1758677,$160467.1659
2020,IN,3699695,$152740.1633
2020,KS,1133617,$106242.6595
2020,KY,974073,$107867.3896
2020,LA,3931837,$145176.6172
2020,MA,1055687,$450284.7506
2020,MD,2955644,$349064.8003
2020,ME,815135,$220864.0791
2020,MI,8209543,$171435.4418
2020,MN,529865,$215636.8087
2020,MO,1018833,$157118.5687
2020,MS,1179225,$120394.1015
2020,MT,387133,$260921.1158
2020,NC,6096298,$192698.5293
2020,ND,133666,$166510.4816
2020,NE,417400,$152378.3326
2020,NH,422705,$292740.7275
2020,NJ,909875,$422797.2041
2020,NM,1413484,$198021.1959
2020,NV,2823557,$317801.2187
2020,NY,5662945,$369021.7106
2020,OH,7150662,$161961.8018
2020,OK,2634599,$101574.5887
2020,OR,1551962,$326993.4108
2020,PA,6415660,$182952.8546
2020,SC,3446169,$177340.9501
2020,SD,416786,$190660.1368
2020,TN,3533756,$176961.1688
2020,TX,26072769,$215886.1635
2020,UT,2813028,$378532.8222
2020,VA,2540856,$238392.5885
2020,VT,225563,$252292.5315
2020,WA,6397061,$400546.5732
2020,WI,3919880,$213373.5705
2020,WV,601818,$97305.8865
2020,WY,180919,$272544.0658
